ts,wh,
1650642300,1807,2022-04-22 15:45
1650643200,2169,2022-04-22 16:00
1650644100,1691,2022-04-22 16:15
1650645000,1641,2022-04-22 16:30
1650645900,1770,2022-04-22 16:45
1650646800,2163,2022-04-22 17:00
1650647700,2123,2022-04-22 17:15
1650648600,1717,2022-04-22 17:30
1650649500,1868,2022-04-22 17:45
1650650400,1681,2022-04-22 18:00
1650651300,1806,2022-04-22 18:15
1650652200,1621,2022-04-22 18:30
1650653100,1642,2022-04-22 18:45
1650654000,2018,2022-04-22 19:00
1650654900,1692,2022-04-22 19:15
1650655800,1785,2022-04-22 19:30
1650656700,1887,2022-04-22 19:45
1650657600,1797,2022-04-22 20:00
1650658500,2173,2022-04-22 20:15
1650659400,2084,2022-04-22 20:30
1650660300,1849,2022-04-22 20:45
1650661200,1660,2022-04-22 21:00
1650662100,1793,2022-04-22 21:15
1650663000,1660,2022-04-22 21:30
1650663900,1842,2022-04-22 21:45
1650664800,2097,2022-04-22 22:00
1650665700,2175,2022-04-22 22:15
1650666600,2025,2022-04-22 22:30
1650667500,1997,2022-04-22 22:45
1650668400,1950,2022-04-22 23:00
1650669300,2494,2022-04-22 23:15
1650670200,2083,2022-04-22 23:30
1650671100,1861,2022-04-22 23:45
1650672000,1825,2022-04-23 00:00
1650672900,1867,2022-04-23 00:15
1650673800,1511,2022-04-23 00:30
1650674700,1621,2022-04-23 00:45
1650675600,1731,2022-04-23 01:00
1650676500,1588,2022-04-23 01:15
1650677400,1541,2022-04-23 01:30
1650678300,1540,2022-04-23 01:45
1650679200,1619,2022-04-23 02:00
1650680100,1772,2022-04-23 02:15
1650681000,2040,2022-04-23 02:30
1650681900,1691,2022-04-23 02:45
1650682800,1194,2022-04-23 03:00
1650683700,1099,2022-04-23 03:15
1650684600,1247,2022-04-23 03:30
1650685500,1159,2022-04-23 03:45
1650686400,1517,2022-04-23 04:00
1650687300,1314,2022-04-23 04:15
1650688200,1399,2022-04-23 04:30
1650689100,1200,2022-04-23 04:45
1650690000,1419,2022-04-23 05:00
1650690900,1084,2022-04-23 05:15
1650691800,0,2022-04-23 05:30
1650692700,0,2022-04-23 05:45
1650693600,0,2022-04-23 06:00
1650694500,0,2022-04-23 06:15
1650695400,1736,2022-04-23 06:30
1650696300,1932,2022-04-23 06:45
1650697200,1521,2022-04-23 07:00
1650698100,1124,2022-04-23 07:15
1650699000,333,2022-04-23 07:30
1650699900,0,2022-04-23 07:45
1650700800,0,2022-04-23 08:00
1650701700,0,2022-04-23 08:15
1650702600,1351,2022-04-23 08:30
1650703500,1337,2022-04-23 08:45
1650704400,1278,2022-04-23 09:00
1650705300,1122,2022-04-23 09:15
1650706200,1170,2022-04-23 09:30
1650707100,1049,2022-04-23 09:45
1650708000,1092,2022-04-23 10:00
1650708900,1328,2022-04-23 10:15
1650709800,1314,2022-04-23 10:30
1650710700,1582,2022-04-23 10:45
1650711600,1332,2022-04-23 11:00
1650712500,1483,2022-04-23 11:15
1650713400,1295,2022-04-23 11:30
1650714300,1177,2022-04-23 11:45
1650715200,42,2022-04-23 12:00
1650716100,0,2022-04-23 12:15
1650717000,0,2022-04-23 12:30
1650717900,0,2022-04-23 12:45
1650718800,2499,2022-04-23 13:00
1650719700,2218,2022-04-23 13:15
1650720600,1230,2022-04-23 13:30
1650721500,1374,2022-04-23 13:45
1650722400,1346,2022-04-23 14:00
1650723300,1145,2022-04-23 14:15
1650724200,854,2022-04-23 14:30
1650725100,907,2022-04-23 14:45
1650726000,1377,2022-04-23 15:00
1650726900,1419,2022-04-23 15:15
1650727800,1952,2022-04-23 15:30
1650728700,1683,2022-04-23 15:45
1650729600,1480,2022-04-23 16:00
1650730500,1517,2022-04-23 16:15
1650731400,1269,2022-04-23 16:30
1650732300,1274,2022-04-23 16:45
1650733200,1202,2022-04-23 17:00
1650734100,1319,2022-04-23 17:15
1650735000,1258,2022-04-23 17:30
1650735900,1232,2022-04-23 17:45
1650736800,1537,2022-04-23 18:00
1650737700,2006,2022-04-23 18:15
1650738600,1688,2022-04-23 18:30
1650739500,1638,2022-04-23 18:45
1650740400,1577,2022-04-23 19:00
1650741300,1467,2022-04-23 19:15
1650742200,1419,2022-04-23 19:30
1650743100,1446,2022-04-23 19:45
1650744000,1517,2022-04-23 20:00
1650744900,1400,2022-04-23 20:15
1650745800,1353,2022-04-23 20:30
1650746700,1322,2022-04-23 20:45
1650747600,1315,2022-04-23 21:00
1650748500,1656,2022-04-23 21:15
1650749400,1871,2022-04-23 21:30
1650750300,1452,2022-04-23 21:45
1650751200,1939,2022-04-23 22:00
1650752100,1928,2022-04-23 22:15
1650753000,1473,2022-04-23 22:30
1650753900,1561,2022-04-23 22:45
1650754800,1338,2022-04-23 23:00
1650755700,1947,2022-04-23 23:15
1650756600,1633,2022-04-23 23:30
1650757500,1587,2022-04-23 23:45
1650758400,1562,2022-04-24 00:00
1650759300,1594,2022-04-24 00:15
1650760200,1398,2022-04-24 00:30
1650761100,1397,2022-04-24 00:45
1650762000,1407,2022-04-24 01:00
1650762900,1199,2022-04-24 01:15
1650763800,1318,2022-04-24 01:30
1650764700,1148,2022-04-24 01:45
1650765600,1674,2022-04-24 02:00
1650766500,1693,2022-04-24 02:15
1650767400,1623,2022-04-24 02:30
1650768300,2721,2022-04-24 02:45
1650769200,2738,2022-04-24 03:00
1650770100,1779,2022-04-24 03:15
1650771000,2293,2022-04-24 03:30
1650771900,2299,2022-04-24 03:45
1650772800,1638,2022-04-24 04:00
1650773700,1601,2022-04-24 04:15
1650774600,1818,2022-04-24 04:30
1650775500,2261,2022-04-24 04:45
1650776400,1772,2022-04-24 05:00
1650777300,1696,2022-04-24 05:15
1650778200,1927,2022-04-24 05:30
1650779100,2005,2022-04-24 05:45
1650780000,2102,2022-04-24 06:00
1650780900,2703,2022-04-24 06:15
1650781800,2123,2022-04-24 06:30
1650782700,2023,2022-04-24 06:45
1650783600,1841,2022-04-24 07:00
1650784500,1640,2022-04-24 07:15
1650785400,1973,2022-04-24 07:30
1650786300,2387,2022-04-24 07:45
1650787200,2050,2022-04-24 08:00
1650788100,1862,2022-04-24 08:15
1650789000,1971,2022-04-24 08:30
1650789900,2352,2022-04-24 08:45
1650790800,2232,2022-04-24 09:00
1650791700,2144,2022-04-24 09:15
1650792600,1662,2022-04-24 09:30
1650793500,1655,2022-04-24 09:45
1650794400,1530,2022-04-24 10:00
1650795300,1452,2022-04-24 10:15
1650796200,1549,2022-04-24 10:30
1650797100,1624,2022-04-24 10:45
1650798000,1775,2022-04-24 11:00
1650798900,1744,2022-04-24 11:15
1650799800,1883,2022-04-24 11:30
1650800700,1874,2022-04-24 11:45
1650801600,1049,2022-04-24 12:00
1650802500,0,2022-04-24 12:15
1650803400,0,2022-04-24 12:30
1650804300,143,2022-04-24 12:45
1650805200,3104,2022-04-24 13:00
1650806100,3354,2022-04-24 13:15
1650807000,2658,2022-04-24 13:30
1650807900,2367,2022-04-24 13:45
1650808800,2488,2022-04-24 14:00
1650809700,2227,2022-04-24 14:15
1650810600,2031,2022-04-24 14:30
1650811500,2008,2022-04-24 14:45
1650812400,2197,2022-04-24 15:00
1650813300,2512,2022-04-24 15:15
1650814200,2641,2022-04-24 15:30
1650815100,2604,2022-04-24 15:45
1650816000,2652,2022-04-24 16:00
1650816900,2406,2022-04-24 16:15
1650817800,2232,2022-04-24 16:30
1650818700,2328,2022-04-24 16:45
1650819600,2051,2022-04-24 17:00
1650820500,1867,2022-04-24 17:15
1650821400,2006,2022-04-24 17:30
1650822300,1998,2022-04-24 17:45
