Begin,End,wh,L1/kwh,L2/kwh
2023-08-05 02:15,2023-08-05 02:30,949,0.769230769,0
2023-08-05 02:30,2023-08-05 02:45,987,1.104356636,0
2023-08-05 02:45,2023-08-05 03:00,1032,1.753875969,0
2023-08-05 03:00,2023-08-05 03:15,925,0.789189189,0
2023-08-05 03:15,2023-08-05 03:30,931,0.386680988,0
2023-08-05 03:30,2023-08-05 03:45,987,1.469098278,0
2023-08-05 03:45,2023-08-05 04:00,1016,1.437007874,0
2023-08-05 04:00,2023-08-05 04:15,963,1.505711319,0
2023-08-05 04:15,2023-08-05 04:30,972,0.740740741,0
2023-08-05 04:30,2023-08-05 04:45,981,1.111111111,0
2023-08-05 04:45,2023-08-05 05:00,954,1.142557652,0
2023-08-05 05:00,2023-08-05 05:15,959,1.511991658,0
2023-08-05 05:15,2023-08-05 05:30,938,1.162046908,0
2023-08-05 05:30,2023-08-05 05:45,981,1.855249745,0
2023-08-05 05:45,2023-08-05 06:00,974,0.739219713,0
2023-08-05 06:00,2023-08-05 06:15,976,0.74795082,0
2023-08-05 06:15,2023-08-05 06:30,990,1.464646465,0
2023-08-05 06:30,2023-08-05 06:45,1075,1.348837209,0
2023-08-05 06:45,2023-08-05 07:00,1003,0.72781655,0
2023-08-05 07:00,2023-08-05 07:15,1497,0.480961924,0
2023-08-05 07:15,2023-08-05 07:30,1428,1.015406162,0
2023-08-05 07:30,2023-08-05 07:45,1395,1.046594982,0
2023-08-05 07:45,2023-08-05 08:00,1433,1.011863224,0
2023-08-05 08:00,2023-08-05 08:15,1487,0.242098184,0
2023-08-05 08:15,2023-08-05 08:30,1531,0,0
2023-08-05 08:30,2023-08-05 08:45,1686,1.939501779,0
2023-08-05 08:45,2023-08-05 09:00,1705,0.850439883,0
2023-08-05 09:00,2023-08-05 09:15,1630,1.116564417,0
2023-08-05 09:15,2023-08-05 09:30,1731,0,0
2023-08-05 09:30,2023-08-05 09:45,1726,0.625724218,0
2023-08-05 09:45,2023-08-05 10:00,1821,0.801757276,0
2023-08-05 10:00,2023-08-05 10:15,2091,0.865614538,0
2023-08-05 10:15,2023-08-05 10:30,2002,0.544455544,0
2023-08-05 10:30,2023-08-05 10:45,2041,0.710436061,0
2023-08-05 10:45,2023-08-05 11:00,1707,0.638547159,0
2023-08-05 11:00,2023-08-05 11:15,1603,0.904553961,0
2023-08-05 11:15,2023-08-05 11:30,1487,0.733019502,0
2023-08-05 11:30,2023-08-05 11:45,1581,1.144845035,0
