key,start,end,epoch,tankl1,tankl2,deltal1,deltal2,hrs1,hrs2,deltahrs1,deltahrs2
BIOHENRY -UNHCR LAGOS OFFICE DG1 and DG21706750760,2024-02-01T01:26:00:00,2024-02-01T01:27:00:00,1706750760,125.25,23.23,0.00,0.00,2513.12,10239.1,0.00,-0.32
BIOHENRY -UNHCR LAGOS OFFICE DG1 and DG21706750820,2024-02-01T01:27:00:00,2024-02-01T01:28:00:00,1706750820,125.25,23.23,0.00,0.00,2513.12,10239.1,0.00,-0.32
BIOHENRY -UNHCR LAGOS OFFICE DG1 and DG21706750880,2024-02-01T01:28:00:00,2024-02-01T01:29:00:00,1706750880,125.25,23.23,0.00,0.00,2513.12,10239.1,0.00,-0.32
BIOHENRY -UNHCR LAGOS OFFICE DG1 and DG21706750940,2024-02-01T01:29:00:00,2024-02-01T01:30:00:00,1706750940,125.25,23.23,0.00,0.00,2513.12,10239.1,0.00,-0.32
BIOHENRY -UNHCR LAGOS OFFICE DG1 and DG21706751000,2024-02-01T01:30:00:00,2024-02-01T01:31:00:00,1706751000,125.25,23.23,0.00,0.00,2513.12,10239.1,0.00,-0.32
BIOHENRY -UNHCR LAGOS OFFICE DG1 and DG21706751060,2024-02-01T01:31:00:00,2024-02-01T01:32:00:00,1706751060,125.25,23.23,0.00,0.00,2513.12,10239.1,0.00,-0.32
BIOHENRY -UNHCR LAGOS OFFICE DG1 and DG21706751120,2024-02-01T01:32:00:00,2024-02-01T01:33:00:00,1706751120,125.25,23.23,0.00,0.00,2513.12,10239.1,0.00,-0.32
BIOHENRY -UNHCR LAGOS OFFICE DG1 and DG21706751180,2024-02-01T01:33:00:00,2024-02-01T01:34:00:00,1706751180,125.25,23.23,0.00,0.00,2513.12,10239.1,0.00,-0.32
BIOHENRY -UNHCR LAGOS OFFICE DG1 and DG21706751240,2024-02-01T01:34:00:00,2024-02-01T01:35:00:00,1706751240,125.25,23.23,0.00,0.00,2513.12,10239.1,0.00,-0.32
BIOHENRY -UNHCR LAGOS OFFICE DG1 and DG21706751300,2024-02-01T01:35:00:00,2024-02-01T01:36:00:00,1706751300,125.25,23.23,0.00,0.00,2513.12,10239.1,0.00,-0.32
BIOHENRY -UNHCR LAGOS OFFICE DG1 and DG21706751360,2024-02-01T01:36:00:00,2024-02-01T01:37:00:00,1706751360,125.25,23.23,0.00,0.00,2513.12,10239.1,0.00,-0.32
BIOHENRY -UNHCR LAGOS OFFICE DG1 and DG21706751420,2024-02-01T01:37:00:00,2024-02-01T01:38:00:00,1706751420,125.25,23.23,0.00,0.00,2513.12,10239.1,0.00,-0.32
BIOHENRY -UNHCR LAGOS OFFICE DG1 and DG21706751480,2024-02-01T01:38:00:00,2024-02-01T01:39:00:00,1706751480,125.25,23.23,0.00,0.00,2513.12,10239.1,0.00,-0.32
BIOHENRY -UNHCR LAGOS OFFICE DG1 and DG21706751540,2024-02-01T01:39:00:00,2024-02-01T01:40:00:00,1706751540,125.25,23.23,0.00,0.00,2513.12,10239.1,0.00,-0.32
BIOHENRY -UNHCR LAGOS OFFICE DG1 and DG21706751600,2024-02-01T01:40:00:00,2024-02-01T01:41:00:00,1706751600,125.25,23.23,0.00,0.00,2513.12,10239.1,0.00,-0.32
